RA,Dec
130.5274439398723,-17.573205733934543
130.52629708616828,-17.573205850482967
130.5251502324485,-17.573205960423905
130.52400327421486,-17.572112732261225
130.52400327421486,-17.572112732261225
130.52285642736905,-17.5721128289808
130.52170948981768,-17.571019587531893
130.52170939912622,-17.569926255918272
130.52170930843585,-17.568832924253268
130.52170921774658,-17.567739592537716
130.52285593940502,-17.566646170689697
130.52400275173864,-17.566646074002122
130.52400275173864,-17.566646074002122
130.5251494526647,-17.565552638914657
130.5262962580674,-17.56555252902472
130.52744318865237,-17.566645744310378
130.52744318865237,-17.566645744310378
130.52859000092482,-17.566645621203442
130.5297369521838,-17.567738823205993
130.5297370911896,-17.568832154870584
130.5297370911896,-17.568832154870584
130.5308840631405,-17.569925350140867
130.52973736920617,-17.571018818047232
130.52973736920617,-17.571018818047232
130.5285906614499,-17.57211227931251
130.5285906614499,-17.57211227931251
130.5274439398723,-17.573205733934543
130.51253356402754,-17.533846770550138
130.511386958635,-17.53384680112831
130.51024035323871,-17.533846825114786
130.5090937478395,-17.533846842509526
130.50794714243835,-17.53384685331252
130.50680053703616,-17.533846857523844
130.5056539375753,-17.53275352219282
130.5056539435167,-17.53166018921791
130.5056539435167,-17.53166018921791
130.50450735191447,-17.531660180246973
130.50336078005438,-17.53056683168844
130.50336078005438,-17.53056683168844
130.50221419535603,-17.53056680953729
130.5010676442003,-17.52947344777968
130.5010676442003,-17.52947344777968
130.49992110684747,-17.528380079414443
130.49992114728502,-17.527286746357724
130.4999211877221,-17.5261934132807
130.49992122815866,-17.525100080184174
130.49992122815866,-17.525100080184174
130.49877467797015,-17.525100038275745
130.49762818202208,-17.524006656669872
130.49762818202208,-17.524006656669872
130.49648169987861,-17.52291326846519
130.49648169987861,-17.52291326846519
130.49533516350974,-17.522913206800315
130.49418862714992,-17.52291313854808
130.49304209080006,-17.52291306370854
130.49304209080006,-17.52291306370854
130.49189546573282,-17.524006315386124
130.49074892250673,-17.524006227366026
130.48960237929336,-17.524006132758196
130.48845583609364,-17.52400603156256
130.48730929290846,-17.52400592377916
130.48616274973878,-17.524005809407985
130.4850162065855,-17.524005688449034
130.48386966344955,-17.524005560902317
130.48272326425175,-17.522912093722397
130.48272326425175,-17.522912093722397
130.48157672805212,-17.522911953009476
130.48043019187256,-17.52291180570924
130.47928365571403,-17.52291165182165
130.47813711957738,-17.52291149134673
130.4769907618761,-17.52181799127306
130.4769907618761,-17.52181799127306
130.4758442326849,-17.52181781763502
130.4746978957263,-17.520724304405853
130.4746978957263,-17.520724304405853
130.47355157258843,-17.519630784599112
130.47355157258843,-17.519630784599112
130.472405263272,-17.518537258216885
130.472405263272,-17.518537258216885
130.47125875488106,-17.518537058271132
130.47011224651845,-17.51853685173981
130.46896596487878,-17.517443305640942
130.46896596487878,-17.517443305640942
130.4678196970635,-17.516349752972577
130.4678196970635,-17.516349752972577
130.46667344307332,-17.51525619373681
130.46667368355537,-17.514162860747465
130.46667368355537,-17.514162860747465
130.46552745028623,-17.513069294951144
130.46552745028623,-17.513069294951144
130.46438097657088,-17.51306905557152
130.46323450288938,-17.513068809608512
130.46208829731134,-17.51197522411661
130.46208856537683,-17.51088189116196
130.46208883343908,-17.50978855819894
130.46208883343908,-17.50978855819894
130.460942655479,-17.508694966167514
130.460942655479,-17.508694966167514
130.45979649134782,-17.507601367582566
130.45979649134782,-17.507601367582566
130.45865034104625,-17.506507762446237
130.45865034104625,-17.506507762446237
130.45750420457495,-17.50541415076062
130.45750450021117,-17.504320817839297
130.45750479584387,-17.503227484914397
130.45750479584387,-17.503227484914397
130.4563583844647,-17.503227199621907
130.45521197312576,-17.503226907749976
130.45406587814924,-17.502133276429173
130.45406587814924,-17.502133276429173
130.45291979700562,-17.501039638567523
130.45292012021645,-17.499946305715202
130.45292012021645,-17.499946305715202
130.45177405979965,-17.498852661335153
130.45177405979965,-17.498852661335153
130.45062801321697,-17.49775901041972
130.45062801321697,-17.49775901041972
130.44948198046905,-17.496665352971014
130.44948198046905,-17.496665352971014
130.44833596155655,-17.49557168899114
130.448336312335,-17.49447835623034
130.44833666310925,-17.493385023473127
130.44833666310925,-17.493385023473127
130.44719067181768,-17.49229135301712
130.44719102948,-17.491198020291954
130.44719138713802,-17.49010468757275
130.44719138713802,-17.49010468757275
130.4460454234671,-17.48901101065084
130.4460454234671,-17.48901101065084
130.44489947363292,-17.487917327209043
130.4448998450704,-17.486823994558815
130.4448998450704,-17.486823994558815
130.44375391596532,-17.48573030463217
130.44375391596532,-17.48573030463217
130.44260800069813,-17.48463660819108
130.44260838591413,-17.483543275618747
130.44260877112544,-17.48244994305795
130.44260915633217,-17.481356610509504
130.4426095415342,-17.48026327797419
130.4426095415342,-17.48026327797419
130.44146366767,-17.479169575170413
130.44146405975832,-17.478076242688434
130.44146405975832,-17.478076242688434
130.4403182066235,-17.476982533420006
130.44031860559772,-17.47588920099499
130.44031900456716,-17.474795868587098
130.44146562806446,-17.473702912923795
130.44146562806446,-17.473702912923795
130.44146602012918,-17.472609580527422
130.44146602012918,-17.472609580527422
130.44032020144672,-17.471515871474114
130.44032060039694,-17.470422539142657
130.4403209993424,-17.469329206832303
130.44032139828303,-17.46823587454387
130.44032179721887,-17.46714254227811
130.44032219614994,-17.466049210035845
130.4403225950762,-17.46495587781788
130.44032299399765,-17.463862545624995
130.44032339291428,-17.462769213457968
130.44032379182613,-17.461675881317635
130.44032419073318,-17.46058254920477
130.44032458963545,-17.45948921712018
130.4403249885329,-17.45839588506464
130.44032538742556,-17.45730255303897
130.44147190053428,-17.456209597368943
130.44147190053428,-17.456209597368943
130.44261839990276,-17.455116635119985
130.44261839990276,-17.455116635119985
130.4426187849936,-17.454023303138893
130.44376526372295,-17.45293033432194
130.44376526372295,-17.45293033432194
130.44376564191103,-17.45183700238351
130.44491210000098,-17.45074402700393
130.44491210000098,-17.45074402700393
130.44605854434906,-17.449651045054217
130.44605854434906,-17.449651045054217
130.44720497495453,-17.448558056536456
130.44720497495453,-17.448558056536456
130.4483513918168,-17.447465061452807
130.4483513918168,-17.447465061452807
130.44949779493516,-17.446372059805345
130.45064384750643,-17.44637238345102
130.45064384750643,-17.44637238345102
130.45179023003195,-17.445279368664
130.4529362757989,-17.445279679175606
130.4529362757989,-17.445279679175606
130.45408263772836,-17.444186651253357
130.45522867668734,-17.444186948632627
130.45522867668734,-17.444186948632627
130.45637501801747,-17.44309390757942
130.45752105016493,-17.443094191828084
130.4586670823517,-17.443094469521412
130.45981311457686,-17.443094740659355
130.46095914683949,-17.44309500524193
130.46210517913866,-17.443095263269143
130.46325121147348,-17.443095514740975
130.46439724384302,-17.44309575965743
130.46554327624636,-17.443095998018514
130.46668930868256,-17.443096229824214
130.46783534115076,-17.44309645507457
130.46898137365,-17.443096673769517
130.4701274061794,-17.44309688590911
130.47127322601548,-17.44419042358257
130.47127322601548,-17.44419042358257
130.4724190596632,-17.445283954767433
130.4724190596632,-17.445283954767433
130.47356510606335,-17.445284147266594
130.47471115248996,-17.445284333209486
130.4758571989421,-17.44528451259614
130.47700306715657,-17.446378017657462
130.47700306715657,-17.446378017657462
130.47814912055014,-17.4463781839427
130.4792951739665,-17.446378343671235
130.48044106981973,-17.447471829144618
130.48044106981973,-17.447471829144618
130.48158697947838,-17.448565308118706
130.48158697947838,-17.448565308118706
130.482733046744,-17.44856544819586
130.48387897711987,-17.449658914119873
130.48387897711987,-17.449658914119873
130.485024921299,-17.450752373539494
130.485024921299,-17.450752373539494
130.48617087928073,-17.451845826452626
130.48617087928073,-17.451845826452626
130.4873168510644,-17.45293927285714
130.4873168510644,-17.45293927285714
130.48846294599025,-17.45293938017507
130.48960893848337,-17.45403281351626
130.48960893848337,-17.45403281351626
130.49075494477628,-17.455126240343734
130.49075494477628,-17.455126240343734
130.4919010535304,-17.455126327995398
130.493047080528,-17.45621974175227
130.493047080528,-17.45621974175227
130.49419312132318,-17.45731314899033
130.49419312132318,-17.45731314899033
130.4953391759153,-17.458406549707487
130.4953391759153,-17.458406549707487
130.4964852443037,-17.459499943901623
130.4964852443037,-17.459499943901623
130.49763132648766,-17.46059333157063
130.49763132648766,-17.46059333157063
130.49877742246656,-17.46168671271239
130.49877742246656,-17.46168671271239
130.4999235726481,-17.461686754459343
130.50106968932093,-17.462780122511283
130.50106968932093,-17.462780122511283
130.50221581978653,-17.46387348403088
130.50221579316613,-17.464966816953147
130.50221579316613,-17.464966816953147
130.50336194431804,-17.466060171964877
130.50336192459167,-17.46715350493801
130.50336190486502,-17.4682468379346
130.50336190486502,-17.4682468379346
130.50450808359759,-17.469340186456787
130.50450808359759,-17.469340186456787
130.5056542761214,-17.470433528436605
130.50565427018398,-17.47152686150055
130.50565426424652,-17.472620194584795
130.50565426424652,-17.472620194584795
130.50680048339333,-17.47262019695635
130.5079467103928,-17.473713525864337
130.5079467103928,-17.473713525864337
130.5090929364336,-17.47371351510077
130.5102391841157,-17.47480683089003
130.51023920575923,-17.47590016402843
130.51023920575923,-17.47590016402843
130.5113854741249,-17.47699347328031
130.5113854741249,-17.47699347328031
130.51253175627795,-17.47808677597594
130.51253179171334,-17.4791801091597
130.51253179171334,-17.4791801091597
130.5136780945492,-17.480273405309234
130.51367813688117,-17.481366738519174
130.51367817921366,-17.48246007174227
130.51367817921366,-17.48246007174227
130.51482450962845,-17.483553361349784
130.51482455885792,-17.48464669459383
130.514824608088,-17.48574002784869
130.514824608088,-17.48574002784869
130.51597096608202,-17.486833310903922
130.5159710222095,-17.487926644174518
130.51597107833766,-17.489019977453484
130.51597113446647,-17.490113310740018
130.51597119059596,-17.49120664403332
130.51482490348081,-17.492300027558876
130.51482490348081,-17.492300027558876
130.51367860256656,-17.493393404520763
130.51367860256656,-17.493393404520763
130.51367864490464,-17.494486737835857
130.51367868724327,-17.495580071154517
130.51367872958238,-17.49667340447598
130.5125323941805,-17.497766774887882
