RA,Dec
130.50106804663773,-17.516353450106774
130.4999215516338,-17.5163534148053
130.49877505663525,-17.516353372919166
130.497628561643,-17.516353324448296
130.496482066658,-17.516353269392717
130.4953355716811,-17.51635320775242
130.49418915163733,-17.515259806309476
130.49418915163733,-17.515259806309476
130.49304266357782,-17.515259731504727
130.49189617552923,-17.515259650115706
130.4907497831105,-17.514166228929152
130.4907497831105,-17.514166228929152
130.48960340449977,-17.513072801160163
130.48960340449977,-17.513072801160163
130.48845703969783,-17.51197936681082
130.48845703969783,-17.51197936681082
130.4873106887053,-17.510885925883258
130.4873106887053,-17.510885925883258
130.48616435152283,-17.509792478379577
130.48616435152283,-17.509792478379577
130.4850180281511,-17.508699024301883
130.4850181582512,-17.5076056910719
130.4850181582512,-17.5076056910719
130.483871855587,-17.506512230424804
130.48387199258158,-17.50541889719215
130.48387199258158,-17.50541889719215
130.48272571062523,-17.504325429981044
130.48272585451397,-17.503232096749343
130.48272585451397,-17.503232096749343
130.4815794424813,-17.503231956204715
130.48043318815039,-17.502138475865294
130.48043318815039,-17.502138475865294
130.47928678305615,-17.502138322171987
130.4781403779838,-17.502138161899662
130.47699397293425,-17.502137995048326
130.47584756790846,-17.502137821617968
130.4747011629073,-17.502137641608602
130.47355475793174,-17.50213745502022
130.47240835298265,-17.50213726185282
130.47126194806097,-17.502137062106407
130.47011576292306,-17.50104352267143
130.47011576292306,-17.50104352267143
130.46896936495628,-17.501043309781156
130.46782320056684,-17.499949757230333
130.46782320056684,-17.499949757230333
130.46667705,-17.49885619813062
130.46667705,-17.49885619813062
130.4655309132564,-17.497762632484125
130.4655309132564,-17.497762632484125
130.46438479033677,-17.496669060292966
130.46438504456333,-17.495575727260608
130.46438504456333,-17.495575727260608
130.46323868124168,-17.495575481559243
130.4620925859719,-17.494481896285073
130.4620925859719,-17.494481896285073
130.460946504528,-17.493388304472568
130.460946504528,-17.493388304472568
130.45980043691074,-17.492294706123833
130.45980071871122,-17.491201373175446
130.4598010005083,-17.490108040233032
130.4598010005083,-17.490108040233032
130.45865496050433,-17.48901443539913
130.45865496050433,-17.48901443539913
130.45750893432793,-17.487920824035687
